timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1545054744874,298,Logout,200,OK,Thread Group 1-16,true,,81950,85,85,146,1,0,CPCG-150518
1545054735133,10092,Tentativa de Login,200,OK,Thread Group 1-95,true,,508697,84,84,7629,1,0,CPCG-150518
1545054745060,234,Post revisão de seleção,200,OK,Thread Group 1-20,true,,14869,84,84,95,1,0,CPCG-150518
1545054745037,277,GET dados básicos da matrícula,200,OK,Thread Group 1-98,false,Não conseguiu acessar tela de matrícula,14869,84,84,120,1,1,CPCG-150518
1545054745097,259,Post revisão de seleção,200,OK,Thread Group 1-89,true,,14869,84,84,124,1,0,CPCG-150518
1545054745227,252,GET dados básicos da matrícula,200,OK,Thread Group 1-95,false,Não conseguiu acessar tela de matrícula,14869,84,84,108,1,1,CPCG-150518
1545054745315,226,POST dados básicos da matrícula,200,OK,Thread Group 1-98,true,,14869,84,84,98,1,0,CPCG-150518
1545054745295,278,Logout,200,OK,Thread Group 1-20,true,,81949,84,84,155,1,0,CPCG-150518
1545054745357,270,Logout,200,OK,Thread Group 1-89,true,,81950,83,83,142,1,0,CPCG-150518
1545054745480,203,POST dados básicos da matrícula,200,OK,Thread Group 1-95,true,,14869,82,82,92,1,0,CPCG-150518
1545054745541,211,Post seleção de disciplinas,200,OK,Thread Group 1-98,true,,14869,82,82,101,1,0,CPCG-150518
1545054745684,201,Post seleção de disciplinas,200,OK,Thread Group 1-95,true,,14869,82,82,81,1,0,CPCG-150518
1545054745753,226,Post revisão de seleção,200,OK,Thread Group 1-98,true,,14869,82,82,112,1,0,CPCG-150518
1545054745886,189,Post revisão de seleção,200,OK,Thread Group 1-95,true,,14869,82,82,80,1,0,CPCG-150518
1545054745980,293,Logout,200,OK,Thread Group 1-98,true,,81950,82,82,160,1,0,CPCG-150518
1545054735384,11179,Tentativa de Login,200,OK,Thread Group 1-5,true,,508687,81,81,9049,1,0,CPCG-150518
1545054746075,666,Logout,200,OK,Thread Group 1-95,true,,81951,81,81,517,1,0,CPCG-150518
1545054746563,225,GET dados básicos da matrícula,200,OK,Thread Group 1-5,false,Não conseguiu acessar tela de matrícula,14870,80,80,109,1,1,CPCG-150518
1545054746788,206,POST dados básicos da matrícula,200,OK,Thread Group 1-5,true,,14869,80,80,93,1,0,CPCG-150518
1545054735850,11410,Tentativa de Login,200,OK,Thread Group 1-90,true,,508693,80,80,9252,1,0,CPCG-150518
1545054746994,414,Post seleção de disciplinas,200,OK,Thread Group 1-5,true,,14869,80,80,87,1,0,CPCG-150518
1545054735809,11670,Tentativa de Login,200,OK,Thread Group 1-96,true,,508689,80,80,9450,1,0,CPCG-150518
1545054747261,283,GET dados básicos da matrícula,200,OK,Thread Group 1-90,false,Não conseguiu acessar tela de matrícula,14870,80,80,133,1,1,CPCG-150518
1545054747409,231,Post revisão de seleção,200,OK,Thread Group 1-5,true,,14869,80,80,104,1,0,CPCG-150518
1545054747480,211,GET dados básicos da matrícula,200,OK,Thread Group 1-96,false,Não conseguiu acessar tela de matrícula,14869,80,80,90,1,1,CPCG-150518
1545054747545,265,POST dados básicos da matrícula,200,OK,Thread Group 1-90,true,,14869,80,80,104,1,0,CPCG-150518
