timeStamp;elapsed;label;responseCode;responseMessage;threadName;success;failureMessage;grpThreads;allThreads;URL;Latency;SampleCount;ErrorCount;IdleTime;Connect
1,54478E+12;27147;Get Página Inicial;200;OK;Thread Group 1-145;true;;200;200;https://homologacao.ufms.br/siscad/;7407;1;0;0;7306
1,54478E+12;27237;Get Página Inicial;200;OK;Thread Group 1-127;true;;200;200;https://homologacao.ufms.br/siscad/;7123;1;0;0;7048
1,54478E+12;27058;Get Página Inicial;200;OK;Thread Group 1-191;true;;200;200;https://homologacao.ufms.br/siscad/;11135;1;0;0;10714
1,54478E+12;27592;Get Página Inicial;200;OK;Thread Group 1-84;true;;200;200;https://homologacao.ufms.br/siscad/;10285;1;0;0;9683
1,54478E+12;27364;Get Página Inicial;200;OK;Thread Group 1-135;true;;200;200;https://homologacao.ufms.br/siscad/;6266;1;0;0;6092
1,54478E+12;27740;Get Página Inicial;200;OK;Thread Group 1-37;true;;200;200;https://homologacao.ufms.br/siscad/;9014;1;0;0;8670
1,54478E+12;28075;Get Página Inicial;200;OK;Thread Group 1-29;true;;200;200;https://homologacao.ufms.br/siscad/;11740;1;0;0;11358
1,54478E+12;27891;Get Página Inicial;200;OK;Thread Group 1-96;true;;200;200;https://homologacao.ufms.br/siscad/;8874;1;0;0;8684
1,54478E+12;27865;Get Página Inicial;200;OK;Thread Group 1-115;true;;200;200;https://homologacao.ufms.br/siscad/;7300;1;0;0;7098
1,54478E+12;28157;Get Página Inicial;200;OK;Thread Group 1-62;true;;200;200;https://homologacao.ufms.br/siscad/;7433;1;0;0;7311
1,54478E+12;28242;Get Página Inicial;200;OK;Thread Group 1-149;true;;200;200;https://homologacao.ufms.br/siscad/;7266;1;0;0;6916
1,54478E+12;28335;Get Página Inicial;200;OK;Thread Group 1-143;true;;200;200;https://homologacao.ufms.br/siscad/;7043;1;0;0;6950
1,54478E+12;29277;Get Página Inicial;200;OK;Thread Group 1-43;true;;200;200;https://homologacao.ufms.br/siscad/;7413;1;0;0;7325
1,54478E+12;28792;Get Página Inicial;200;OK;Thread Group 1-167;true;;200;200;https://homologacao.ufms.br/siscad/;11201;1;0;0;10826
1,54478E+12;29516;Get Página Inicial;200;OK;Thread Group 1-55;true;;200;200;https://homologacao.ufms.br/siscad/;10473;1;0;0;9793
1,54478E+12;29395;Get Página Inicial;200;OK;Thread Group 1-87;true;;200;200;https://homologacao.ufms.br/siscad/;9031;1;0;0;8938
1,54478E+12;30811;Get Página Inicial;200;OK;Thread Group 1-21;true;;200;200;https://homologacao.ufms.br/siscad/;8947;1;0;0;8668
1,54478E+12;30999;Get Página Inicial;200;OK;Thread Group 1-40;true;;200;200;https://homologacao.ufms.br/siscad/;7542;1;0;0;7370
1,54478E+12;30940;Get Página Inicial;200;OK;Thread Group 1-28;true;;200;200;https://homologacao.ufms.br/siscad/;11618;1;0;0;11274
1,54478E+12;30895;Get Página Inicial;200;OK;Thread Group 1-80;true;;200;200;https://homologacao.ufms.br/siscad/;8628;1;0;0;8421
1,54478E+12;31066;Get Página Inicial;200;OK;Thread Group 1-54;true;;200;200;https://homologacao.ufms.br/siscad/;8979;1;0;0;8734
1,54478E+12;31057;Get Página Inicial;200;OK;Thread Group 1-17;true;;200;200;https://homologacao.ufms.br/siscad/;9034;1;0;0;8715
1,54478E+12;31072;Get Página Inicial;200;OK;Thread Group 1-51;true;;200;200;https://homologacao.ufms.br/siscad/;9030;1;0;0;8675
1,54478E+12;30787;Get Página Inicial;200;OK;Thread Group 1-147;true;;200;200;https://homologacao.ufms.br/siscad/;7125;1;0;0;6944
1,54478E+12;31257;Get Página Inicial;200;OK;Thread Group 1-16;true;;200;200;https://homologacao.ufms.br/siscad/;9028;1;0;0;8791
1,54478E+12;31160;Get Página Inicial;200;OK;Thread Group 1-73;true;;200;200;https://homologacao.ufms.br/siscad/;8917;1;0;0;8589
1,54478E+12;30746;Get Página Inicial;200;OK;Thread Group 1-163;true;;200;200;https://homologacao.ufms.br/siscad/;8492;1;0;0;8175
1,54478E+12;30949;Get Página Inicial;200;OK;Thread Group 1-132;true;;200;200;https://homologacao.ufms.br/siscad/;8146;1;0;0;7939
1,54478E+12;30659;Get Página Inicial;200;OK;Thread Group 1-194;true;;200;200;https://homologacao.ufms.br/siscad/;8322;1;0;0;8015
1,54478E+12;31243;Get Página Inicial;200;OK;Thread Group 1-72;true;;200;200;https://homologacao.ufms.br/siscad/;11656;1;0;0;11298
1,54478E+12;30786;Get Página Inicial;200;OK;Thread Group 1-197;true;;200;200;https://homologacao.ufms.br/siscad/;8281;1;0;0;8017
1,54478E+12;30774;Get Página Inicial;200;OK;Thread Group 1-200;true;;200;200;https://homologacao.ufms.br/siscad/;11032;1;0;0;10668
1,54478E+12;30871;Get Página Inicial;200;OK;Thread Group 1-185;true;;200;200;https://homologacao.ufms.br/siscad/;10998;1;0;0;10740
1,54478E+12;31535;Get Página Inicial;200;OK;Thread Group 1-33;true;;200;200;https://homologacao.ufms.br/siscad/;8480;1;0;0;8196
1,54478E+12;31544;Get Página Inicial;200;OK;Thread Group 1-60;true;;200;200;https://homologacao.ufms.br/siscad/;8969;1;0;0;8661
1,54478E+12;31076;Get Página Inicial;200;OK;Thread Group 1-160;true;;200;200;https://homologacao.ufms.br/siscad/;8504;1;0;0;8283
1,54478E+12;31232;Get Página Inicial;200;OK;Thread Group 1-128;true;;200;200;https://homologacao.ufms.br/siscad/;6306;1;0;0;6129
1,54478E+12;31575;Get Página Inicial;200;OK;Thread Group 1-22;true;;200;200;https://homologacao.ufms.br/siscad/;7551;1;0;0;7380
1,54478E+12;31013;Get Página Inicial;200;OK;Thread Group 1-184;true;;200;200;https://homologacao.ufms.br/siscad/;9964;1;0;0;9170
1,54478E+12;31614;Get Página Inicial;200;OK;Thread Group 1-63;true;;200;200;https://homologacao.ufms.br/siscad/;7469;1;0;0;7320
